Name,Title,Company
Jeffrey Schwartz,President,Solvr
Jeffrey Titus,Managing Director,Rockfeller Capital Management
Jelena Tarbuk,"Vice President, Sales - AMER",Onfido
Jen Grant,,
Jennifer Moebius,"Senior Vice President, Head of Marketing",Skedda
Jennifer Mullin,CMO,Discovery Education; Dreambox Learning
Jesse Brightman,"Lead, Customer Success for Zoom's Customer Experience Suite",Zoom
Jessica Gilmartin,,
Jessica Vetorino,"Senior Director, GTM and Growth Decision Science",Intercom
Jessie Ai,"Senior Vice President, Office of the CEO",FS Investments
Jessie VanderVeen,"Global Head of Product Marketing, AI Agents, Developer Tools",Amazon Web Services (AWS)
Jill Rowley,,
Jim Delia,"Senior Vice President, Global Revenue Operations",Workday
Jim Norton,CRO,OUTFRONT Media
Jim O'Neill,Co-Founder & CTO,SaaSWorks
Jim Priestley,"Senior Vice President, North America",Zendesk
Jim Schuchart,CEO,Technical Toolboxes
Jim Soss,Fractional CRO,Expert Go-To-Market Advisory
Jim Steele,"President, Global Strategic Customers, Alliances & Channels",Salesforce
Jim Yares,Principal,Aligned Insights
Jodi L. Sutton,Vice President Revenue Operations,Highspot
Joe Ciarallo,"Vice President, Global Communications and Social Media",Wellhub
Joe Lemay,Founder,Longevity Athlete
Joe Marcin,CRO,Firstup
Joe Morrissey,GP,Andreessen Horowitz
Joe Wojdak,Sales Executive,SailPoint
Joerg Koehler,Head of Marketing,WisdomAI
Joerg Schille,"Executive Director & CEO, C2D Payments Solutions",Zastrpay
Joey Young,Sales Manager,Zoom
Johanna Flower,"Board Director, Crowdstrike, Freshworks, Seismic",Theta Lake
John Carione,"Senior Director, Product Marketing",Snyk
John Davagian,CEO,L2L
John Durocher,COO,Calix
John Fikany,CEO,The Fikany Group
John Gambaro,"Vice President of Sales - State, Local, & Education (SLED) Group",Freshworks
John Govoni,,
John Guerci,Co-Founder,Stealth
John Hughes,Managing Principal,Growthwise
John Jefferies,CEO,Authentic Marketing
John Kaplan,Founder,Force Management
John Kelleher,,
John Mayhall,COO,Maze
John McMahon,Board Member,Astronomer
John Pelosi,,
John Pierleoni,Ret. SVP Sales,Infor
John Shea,CCO,Aura
Jon Kondo,Strategic Advisor,HEAVY.AI
Jon Lewis,Customer Success Manager,Ataccama
Jon McNeill,CEO and Co-Founder,DVx Ventures
Jon Segal,"Director, Strategic Accounts",C.H.Robinson
Jon Steinberg,CRO,Apptegy
Jon Studham,Head of Sales,Spara
Jonathan Glick,,
Jonathan Marek,Chief Operations Officer,Guild
Jonathan Stolter,Vice President of Sales,Archy
Jonathan Vassil,CRO,Toast
Jordan Cohen,Enterprise Account Executive,Cresta
Joseph Sawyer,CMO,Flashpoint
Josh Allen,Chief Revenue Officer,Quickbase
Josh Kopelman,Founder and Partner,First Round Capital
Josh Shaw,Co-Founder,Hit Reset Commercial Cleaning
Josh Slattery,Founder and Principal,LUXEM Ventures
Josiah Paul Filler,CRO,Peek
Jọo Solano,Founder,Mombora
JT Bricker,,
Julia Leong,AWS Start Up Ops leader,Amazon Web Services (AWS)
Julie Hogan,SVP of Customer Success,Medallion
Julie Maresca,Head of Global Field Sales,Atlassian
Juliette Kopecky,CMO,Rally UXR
Justin Gray,Co-Founder / Managing Director,In Revenue Capital
Justin Knorr,Co-Founder; President; Co-Founder,Address Guard ; Cada Partners; Shipment Guard
Justin Leong,CIO,Alpha Goal International Ltd
Kacee Hamels,"Regional Vice President, Partnerships & Ecosystems",Seismic
Kara Gilbert,Executive Coach,Break Through Consulting
Karen Clarke,,
Kari Gallagher,Senior Vice President,Oracle
Kate Ahlering,"Vice President, Sales Solutions North America",Linkedin
Kate Hastings,CCO,Definitive Healthcare
Katelyn Foley,President,UP.Labs
Kathleen Schindler,GTM,Systalyze
Kathy O'Connell,Vice President of Corporate Marketing and Communications,1Password
Katie Bullard,President,Red Canary
Katie Kentner Swick,Global Product Sales Development Director,Stripe
Katie Nocerino,GTM,1mind <1mind.com>
KC Hamels,"RVP, Partnerships & Ecosystems",Seismic
Keenan Rice,Investor,Tokyo Black
